IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2403076503,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  112.00 
NC2403076505,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  20.87 
NC2403076505,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  20.88 
NC2403076508,02/15/24,02/18/24,Mileage,53141,760821-00007,  426.12 
NC2403076515,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  135.65 
NC2403076520,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  50.12 
NC2403076533,02/23/24,02/24/24,Mileage,53141,762692,  183.58 
NC2403076555,03/04/24,03/06/24,Other Ground Transportation,53141,672429,  179.06 
NC2403076559,11/02/23,11/03/23,Other Ground Transportation,53141,201569,  65.95 
NC2403086590,02/25/24,02/29/24,Mileage,53141,573933-11119,  46.90 
NC2403086590,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  35.00 
NC2403086590,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  35.00 
NC2403086590,02/25/24,02/29/24,Mileage,53141,573945-11119,  46.90 
NC2403086592,02/23/24,02/29/24,Mileage,53141,573945-11119,  47.57 
NC2403086592,02/23/24,02/29/24,Other Ground Transportation,53141,573933-11119,  36.41 
NC2403086592,02/23/24,02/29/24,Other Ground Transportation,53141,573945-11119,  36.42 
NC2403086592,02/23/24,02/29/24,Mileage,53141,573933-11119,  47.57 
NC2403086593,02/25/24,02/29/24,Mileage,53141,573933-11119,  48.91 
NC2403086593,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  33.76 
NC2403086593,02/25/24,02/29/24,Mileage,53141,573945-11119,  48.91 
NC2403086593,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  33.76 
NC2403086598,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  47.19 
NC2403086600,02/11/24,02/16/24,Mileage,53141,531995-09946,  111.89 
NC2403086605,02/25/24,02/28/24,Mileage,53141,566054,  363.14 
NC2403086605,02/25/24,02/28/24,Other Ground Transportation,53141,566054,  173.46 
NC2403086635,02/29/24,03/02/24,Mileage,53141,567788,  138.02 
NC2403086640,02/29/24,03/02/24,Mileage,53141,567788,  60.30 
NC2403086645,03/06/24,,Mileage,53141,568327-10889,  50.92 
NC2403086659,02/29/24,03/02/24,Mileage,53141,567788,  134.00 
NC2403086664,03/01/24,03/02/24,Mileage,53141,567788,  201.00 
NC2403086671,02/11/24,02/13/24,Other Ground Transportation,53141,201471-10044,  225.56 
NC2403086672,02/15/24,02/17/24,Mileage,53141,257604-43204,  171.52 
NC2403086675,02/29/24,03/02/24,Mileage,53141,567788,  206.36 
NC2403086677,02/29/24,03/02/24,Mileage,53141,567788,  152.76 
NC2403086678,03/01/24,03/02/24,Mileage,53141,567788,  68.34 
NC2403086683,02/04/24,02/06/24,Mileage,53141,201540,  250.58 
NC2403116739,03/05/24,03/07/24,Other Ground Transportation,53141,675317,  62.07 
NC2403116740,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  32.17 
NC2403116740,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  32.17 
NC2403116741,02/25/24,03/01/24,Other Ground Transportation,53141,573933-11119,  32.30 
NC2403116741,02/25/24,03/01/24,Other Ground Transportation,53141,573945-11119,  32.30 
NC2403116745,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  50.00 
NC2403116745,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  50.00 
NC2403116747,02/28/24,03/01/24,Other Ground Transportation,53141,204010,  62.42 
NC2403116763,02/25/24,03/01/24,Other Ground Transportation,53141,573945-11119,  12.00 
NC2403116763,02/25/24,03/01/24,Other Ground Transportation,53141,573933-11119,  11.99 
NC2403116772,02/25/24,03/03/24,Mileage,53141,573933-11119,  53.60 
NC2403116772,02/25/24,03/03/24,Mileage,53141,573945-11119,  53.60 
NC2403116772,02/25/24,03/03/24,Other Ground Transportation,53141,573933-11119,  56.97 
NC2403116772,02/25/24,03/03/24,Other Ground Transportation,53141,573945-11119,  56.97 
NC2403116780,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  38.18 
NC2403116780,02/25/24,02/29/24,Mileage,53141,573933-11119,  28.81 
NC2403116780,02/25/24,02/29/24,Mileage,53141,573945-11119,  28.81 
NC2403116780,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  38.19 
NC2403116782,02/25/24,02/29/24,Mileage,53141,573945-11119,  19.43 
NC2403116782,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  18.81 
NC2403116782,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  18.81 
NC2403116782,02/25/24,02/29/24,Mileage,53141,573933-11119,  19.43 
NC2403116784,05/23/24,06/07/24,Other Ground Transportation,53141,761251-53024,  179.90 
NC2403116785,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  25.69 
NC2403116785,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  25.69 
NC2403116788,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  37.62 
NC2403116788,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  37.62 
NC2403116794,02/18/24,02/29/24,Other Ground Transportation,53141,573945-11119,  47.67 
NC2403116794,02/18/24,02/29/24,Other Ground Transportation,53141,573933-11119,  47.67 
NC2403116794,02/18/24,02/29/24,Mileage,53141,573945-11119,  57.96 
NC2403116794,02/18/24,02/29/24,Mileage,53141,573933-11119,  57.95 
NC2403116797,02/29/24,03/02/24,Other Ground Transportation,53141,201585-13000,  122.70 
NC2403116808,03/26/24,03/28/24,Other Ground Transportation,53141,665060,  106.22 
NC2403116808,03/26/24,03/28/24,Mileage,53141,665060,  25.46 
NC2403116816,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  97.92 
NC2403116829,03/05/24,03/06/24,Mileage,53141,201430-07430,  69.01 
NC2403116830,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  185.81 
NC2403116853,02/21/24,02/23/24,Other Ground Transportation,53141,201404,  52.31 
